wavelength_nm,river,depth,mean,sd,se,n,mean_l,mean_h,depth_cm,water_type,wavelength_label
350,baia,1000,0.09765,0.030771745156880526,0.017766075349759537,3,0.07988392465024047,0.11541607534975953,11.488,black,350 nm
350,baia,1500,0.03408,0.011046823072720952,0.0063778862747256105,3,0.02770211372527439,0.04045788627472561,17.232,black,350 nm
350,baia,2000,0.01071,0.006972072862499359,0.00493,2,0.00578,0.01564,22.976,black,350 nm
350,baia,250,0.48232,0.15982877994904426,0.09227718912783017,3,0.39004281087216985,0.5745971891278302,2.872,black,350 nm
350,baia,2500,0.00347,0.0018274846100583175,0.001055098731557068,3,0.002414901268442932,0.004525098731557068,28.72,black,350 nm
350,baia,3000,0.0010924505000000002,0.001368321625167307,9.675495e-4,2,1.2490100000000018e-4,0.00206,34.464,black,350 nm
350,baia,3500,1.52759e-4,3.4112779691927774e-4,1.96950225379409e-4,3,-4.4191225379408994e-5,3.49709225379409e-4,40.208,black,350 nm
350,baia,4000,-2.1138899999999998e-4,5.99527555496826e-5,4.239299999999998e-5,2,-2.53782e-4,-1.68996e-4,45.952,black,350 nm
350,baia,4500,-5.575143333333333e-4,1.6451551936013005e-4,9.498307938844217e-5,3,-6.524974127217755e-4,-4.625312539448911e-4,51.696,black,350 nm
350,baia,500,0.2918233333333333,0.04893778942017441,0.028254245895282918,3,0.2635690874380504,0.32007757922861624,5.744,black,350 nm
350,baia,5000,-6.10912e-4,NA,NA,1,NA,NA,57.44,black,350 nm
350,baia,5500,-2.4763533333333333e-4,1.3839041696712e-4,7.989974448923128e-5,3,-3.275350778225646e-4,-1.6773558884410205e-4,63.184,black,350 nm
350,baia,6000,-4.57757e-4,NA,NA,1,NA,NA,68.928,black,350 nm
350,baia,6500,-4.185533333333333e-4,2.8673484625056184e-4,1.6554644066880784e-4,3,-5.840997740021412e-4,-2.530068926645255e-4,74.672,black,350 nm
350,baia,7000,-7.094223333333333e-4,2.127627449774357e-4,1.228386280862462e-4,3,-8.322609614195795e-4,-5.865837052470871e-4,80.416,black,350 nm
350,distilled,1000,1.04171,NA,NA,1,NA,NA,11.488,distilled,350 nm
350,distilled,10000,0.88948,NA,NA,1,NA,NA,114.88,distilled,350 nm
350,distilled,2000,0.94058,NA,NA,1,NA,NA,22.976,distilled,350 nm
350,distilled,4000,0.9303,NA,NA,1,NA,NA,45.952,distilled,350 nm
350,distilled,6000,0.96789,NA,NA,1,NA,NA,68.928,distilled,350 nm
350,distilled,8000,0.92431,NA,NA,1,NA,NA,91.904,distilled,350 nm
350,ivinhema,1000,0.44097333333333333,0.020099254546707277,0.011604310023052256,3,0.4293690233102811,0.45257764335638556,11.488,white,350 nm
350,ivinhema,2000,0.23176666666666668,0.008891913929707894,0.005133748900927835,3,0.22663291776573885,0.2369004155675945,22.976,white,350 nm
350,ivinhema,250,0.6494566666666667,0.025248535271047607,0.014577248635383098,3,0.6348794180312836,0.6640339153020498,2.872,white,350 nm
350,ivinhema,3000,0.09120666666666667,0.006111630987987849,0.0035285517961024435,3,0.08767811487056423,0.09473521846276911,34.464,white,350 nm
350,ivinhema,4000,0.035346666666666665,0.00405878471138016,0.002343340445698073,3,0.03300332622096859,0.03769000711236474,45.952,white,350 nm
350,ivinhema,500,0.56143,0.014458080785498479,0.008347376833472904,3,0.5530826231665271,0.5697773768334728,5.744,white,350 nm
350,ivinhema,5000,0.01594,0.002645354418598763,0.0015272960856799616,3,0.014412703914320037,0.01746729608567996,57.44,white,350 nm
350,ivinhema,6000,0.006043333333333334,0.0011471849603849123,6.623275456885193e-4,3,0.005381005787644814,0.006705660879021853,68.928,white,350 nm
350,ivinhema,7000,0.003,0.0010289800775525246,5.940819247657121e-4,3,0.002405918075234288,0.003594081924765712,80.416,white,350 nm
350,ivinhema,8000,4.535543333333333e-4,5.143965820816982e-4,2.969870051350919e-4,3,1.565673281982414e-4,7.505413384684252e-4,91.904,white,350 nm
350,ivinhema,9000,-5.1365899999999996e-5,1.7060424725788627e-4,9.849840807923412e-5,3,-1.4986430807923412e-4,4.713250807923412e-5,103.392,white,350 nm
350,parana,1000,0.85947,0.08603258917410313,0.049670938518748924,3,0.809799061481251,0.9091409385187489,11.488,clean,350 nm
350,parana,10000,0.03061,0.011756687458633914,0.006787726669020588,3,0.02382227333097941,0.03739772666902059,114.88,clean,350 nm
350,parana,2000,0.6418133333333333,0.10814866265161732,0.06243965949440929,3,0.579373673838924,0.7042529928277427,22.976,clean,350 nm
350,parana,4000,0.2909333333333333,0.059310924232668434,0.03424317807161662,3,0.2566901552617167,0.32517651140494996,45.952,clean,350 nm
350,parana,500,0.9812933333333334,0.08412440925993676,0.04856925033164274,3,0.9327240830016906,1.0298625836649762,5.744,clean,350 nm
350,parana,6000,0.13461333333333333,0.03805339581868263,0.021970138319495798,3,0.11264319501383754,0.15658347165282913,68.928,clean,350 nm
350,parana,8000,0.06557333333333333,0.020143724415642043,0.011629984713852572,3,0.05394334861948076,0.0772033180471859,91.904,clean,350 nm
351,baia,1000,0.10297333333333333,0.029973482168966177,0.017305197998803073,3,0.08566813533453026,0.12027853133213641,11.488,black,351 nm
351,baia,1500,0.03684333333333333,0.011080511420206801,0.00639733625121512,3,0.03044599708211821,0.043240669584548454,17.232,black,351 nm
351,baia,2000,0.012065000000000001,0.007573113626507926,0.005355,2,0.006710000000000001,0.01742,22.976,black,351 nm
351,baia,250,0.49263333333333337,0.15047071619864555,0.08687430850244379,3,0.40575902483088955,0.5795076418357772,2.872,black,351 nm
351,baia,2500,0.00385,0.0021702764800826647,0.00125300970999164,3,0.00259699029000836,0.0051030097099916405,28.72,black,351 nm
351,baia,3000,0.0012809685000000001,0.0015401231171515155,0.0010890315,2,1.919370000000001e-4,0.00237,34.464,black,351 nm
351,baia,3500,1.8568e-4,4.056889585002284e-4,2.342246293973658e-4,3,-4.85446293973658e-5,4.199046293973658e-4,40.208,black,351 nm
351,baia,4000,-1.96764e-4,7.863168828150646e-5,5.560099999999999e-5,2,-2.52365e-4,-1.41163e-4,45.952,black,351 nm
351,baia,4500,-5.40507e-4,1.4670262233170886e-4,8.469879849403612e-5,3,-6.252057984940361e-4,-4.5580820150596386e-4,51.696,black,351 nm
351,baia,500,0.30073,0.04692773060781867,0.02709373789888235,3,0.27363626210111763,0.32782373789888236,5.744,black,351 nm
351,baia,5000,-5.95499e-4,NA,NA,1,NA,NA,57.44,black,351 nm
351,baia,5500,-2.40656e-4,1.3085966390374078e-4,7.55518621808887e-5,3,-3.1620786218088874e-4,-1.651041378191113e-4,63.184,black,351 nm
351,baia,6000,-4.39679e-4,NA,NA,1,NA,NA,68.928,black,351 nm
351,baia,6500,-4.035546666666667e-4,2.7740597369619376e-4,1.601604135883077e-4,3,-5.637150802549743e-4,-2.4339425307835896e-4,74.672,black,351 nm
351,baia,7000,-6.82325e-4,2.020556386320362e-4,1.1665687735548785e-4,3,-7.989818773554879e-4,-5.656681226445121e-4,80.416,black,351 nm
351,distilled,1000,1.03656,NA,NA,1,NA,NA,11.488,distilled,351 nm
351,distilled,10000,0.90101,NA,NA,1,NA,NA,114.88,distilled,351 nm
351,distilled,2000,0.94632,NA,NA,1,NA,NA,22.976,distilled,351 nm
351,distilled,4000,0.937,NA,NA,1,NA,NA,45.952,distilled,351 nm
351,distilled,6000,0.97007,NA,NA,1,NA,NA,68.928,distilled,351 nm
351,distilled,8000,0.9316,NA,NA,1,NA,NA,91.904,distilled,351 nm
351,ivinhema,1000,0.45017666666666667,0.021345590489216557,0.012323882414960696,3,0.437852784251706,0.46250054908162735,11.488,white,351 nm
351,ivinhema,2000,0.24065333333333333,0.009502496163289595,0.005486268717848634,3,0.2351670646154847,0.24613960205118196,22.976,white,351 nm
351,ivinhema,250,0.6667033333333333,0.018587346054058762,0.010731409247831555,3,0.6559719240855018,0.6774347425811649,2.872,white,351 nm
351,ivinhema,3000,0.0985,0.008458587352507508,0.004883567684934174,3,0.09361643231506583,0.10338356768493417,34.464,white,351 nm
351,ivinhema,4000,0.03864666666666667,0.0051728747648994294,0.0029865606379989077,3,0.03566010602866776,0.04163322730466558,45.952,white,351 nm
351,ivinhema,500,0.5799666666666667,0.025594253912418184,0.014776849386042271,3,0.5651898172806245,0.594743516052709,5.744,white,351 nm
351,ivinhema,5000,0.017493333333333333,0.0032354649331020925,0.0018679965500800878,3,0.015625336783253244,0.019361329883413422,57.44,white,351 nm
351,ivinhema,6000,0.006883333333333333,0.0015242156452855789,8.800063131086681e-4,3,0.006003327020224665,0.007763339646442002,68.928,white,351 nm
351,ivinhema,7000,0.00331,0.0010313098467482989,5.954270176380421e-4,3,0.002714572982361958,0.003905427017638042,80.416,white,351 nm
351,ivinhema,8000,6.548515566666667e-4,0.00058367711216073025,3.36986137825821e-4,3,3.1786541884084565e-4,9.918376944924876e-4,91.904,white,351 nm
351,ivinhema,9000,5.796333333333333e-5,1.8297996590155256e-4,1.0564353256956992e-4,3,-4.7680199236236596e-5,1.6360686590290326e-4,103.392,white,351 nm
351,parana,1000,0.8527666666666667,0.08721110384196114,0.05035135427948067,3,0.802415312387186,0.9031180209461473,11.488,clean,351 nm
351,parana,10000,0.03356,0.013024714968090474,0.007519822692945184,3,0.026040177307054817,0.04107982269294518,114.88,clean,351 nm
351,parana,2000,0.6448133333333333,0.10911187714146126,0.06299577163940803,3,0.5818175616939253,0.7078091049727414,22.976,clean,351 nm
351,parana,4000,0.30396,0.06283786358558031,0.03627945745643578,3,0.2676805425435642,0.3402394574564358,45.952,clean,351 nm
351,parana,500,0.9684866666666667,0.08288888485999399,0.047855919986745425,3,0.9206307466799213,1.0163425866534121,5.744,clean,351 nm
351,parana,6000,0.14176333333333332,0.04034713414027486,0.02329442875691763,3,0.11846890457641569,0.16505776209025097,68.928,clean,351 nm
351,parana,8000,0.07000666666666666,0.021799390664267053,0.012585884068184398,3,0.05742078259848227,0.08259255073485106,91.904,clean,351 nm
352,baia,1000,0.10825333333333333,0.029324667659384192,0.016930604767041776,3,0.09132272856629155,0.1251839381003751,11.488,black,352 nm
352,baia,1500,0.03963,0.011396016848004394,0.0065794933948848475,3,0.03305050660511515,0.046209493394884844,17.232,black,352 nm
352,baia,2000,0.01345,0.00816001225489276,0.00577,2,0.00768,0.01922,22.976,black,352 nm
352,baia,250,0.50258,0.14180990903318427,0.08187398915406528,3,0.42070601084593473,0.5844539891540653,2.872,black,352 nm
352,baia,2500,0.004263333333333333,0.0025163531813585578,0.0014528171866335345,3,0.002810516146699799,0.005716150519966868,28.72,black,352 nm
352,baia,3000,0.001492564,0.0017217145025212514,0.001217436,2,2.7512800000000013e-4,0.0027099999999999997,34.464,black,352 nm
352,baia,3500,2.3235466666666666e-4,4.8000235286333056e-4,2.7712948763729766e-4,3,-4.4774820970631e-5,5.094841543039643e-4,40.208,black,352 nm
352,baia,4000,-1.756175e-4,1.0220026440523526e-4,7.226649999999998e-5,2,-2.47884e-4,-1.0335100000000001e-4,45.952,black,352 nm
