Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Corrida (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.138020191916361,,,,,,,,,,,,,,148,,,,594135,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.138019731922594,,,,,,,,,,,,,,,,,,900000,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.138019731922594,,,,,,,,,,,,,,12,,,,900000,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.138020229017739,,,,,,,,,,,,,,366,,,,437828,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.138020014887736,,,,,,,,,,,,,,244,,,,429664,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.13802016536736,,,,,,,,,,,,,,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.138020311310141,,,,,,,,,,,,,,4,,,,802637,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.138020329013571,,,,,,,,,,,,,,25,,,,900000,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.138020329013571,,,,,,,,,,,,,,,,,,900000,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.138020329013571,,,,,,,,,,,,,,,,,,900000,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.138020329013571,,,,,,,,,,,,,,,,,,900000,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.138020329013571,,,,,,,,,,,,,,,,,,900000,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.138020329013571,,,,,,,,,,,,,,,,,,900000,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.138019963827443,,,,,,,,,,,,,,18,,,,350448,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.13801973094912,,,,,,,,,,,,,,,,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.138020059350893,,,,,,,,,,,,,,10,,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.138019658702632,,,,,,,,,,,,,,2,,,,815495,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.138019621357701,,,,,,,,,,,,,,23,,,,900000,,
04:30:00.000-03:00,04:45:00.000-03:00,,15.138021315597953,,,,,,,,,,,,,,,,,,131611,,
04:45:00.000-03:00,05:00:00.000-03:00,,15.138020977110418,,,,,,,,,,,,,,,,,,510408,,
05:00:00.000-03:00,05:15:00.000-03:00,,15.138021186174916,,,,,,,,,,,,,,1,,,,118392,,
05:15:00.000-03:00,05:30:00.000-03:00,,54.43107177809275,1334.0535514711694,,,,,,,,,,,,,1687,,,,,844770,
05:30:00.000-03:00,05:45:00.000-03:00,,57.000001993924435,1382.5185491875197,,,,,,,,,,1.7371874456158614,2.3048861026763916,1.25,1776,,,,,900000,
05:45:00.000-03:00,06:00:00.000-03:00,,35.837561357575105,546.2571127813584,,,,,,,,,,,,,782,,,,454976,445024,
06:00:00.000-03:00,06:15:00.000-03:00,,57.00000122775516,1274.6399347985707,,,,,,,,,,,,,1728,,,,,900000,
06:15:00.000-03:00,06:30:00.000-03:00,,57.00000122775516,1227.2195019062058,,,,,,,,,,,,,1683,,,,,900000,
06:30:00.000-03:00,06:45:00.000-03:00,,43.58351501844974,693.3815573620393,,,,,,,,,,,,,996,,,,288444,611556,
06:45:00.000-03:00,07:00:00.000-03:00,,56.999999712831276,1220.3728259982188,,,,,,,,,,,,,1676,,,,,900000,
07:00:00.000-03:00,07:15:00.000-03:00,,56.999999712831276,1279.767322715354,,,,,,,,,,,,,1696,,,,,900000,
07:15:00.000-03:00,07:30:00.000-03:00,,56.999999712831276,1289.2964589288356,,,,,,,,,,1.5,1.5,1.5,1730,,,,,900000,
07:30:00.000-03:00,07:45:00.000-03:00,,33.67668233992584,374.13400648645114,,,,,,,,,,,,,554,,,,582086,257080,60834
07:45:00.000-03:00,08:00:00.000-03:00,,27.944994523403807,157.160105408531,,,,,,,,,,,,,345,,,,472140,275340,
