Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Inativa (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
00:15:00.000-03:00,00:30:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
00:30:00.000-03:00,00:45:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
00:45:00.000-03:00,01:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
01:00:00.000-03:00,01:15:00.000-03:00,,16.12760353088379,,,,69.0,69.0,69.0,,,,,,,,,,,,900000
01:15:00.000-03:00,01:30:00.000-03:00,,16.12760353088379,,,,74.0,74.0,74.0,,,,,,,,,,,,900000
01:30:00.000-03:00,01:45:00.000-03:00,,16.12760353088379,,,,65.0,65.0,65.0,,,,,,,,,,,,900000
01:45:00.000-03:00,02:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
02:00:00.000-03:00,02:15:00.000-03:00,,16.12760353088379,,,,63.0,63.0,63.0,,,,,1.2673873901367188,1.2673873901367188,1.2673873901367188,,,,,900000
02:15:00.000-03:00,02:30:00.000-03:00,,16.12760353088379,,,,60.0,60.0,60.0,,,,,0.8793984555359315,1.2673873901367188,0.7683403491973877,,,,,900000
02:30:00.000-03:00,02:45:00.000-03:00,,16.12760353088379,,,,62.0,62.0,62.0,,,,,0.7683403491973877,0.7683403491973877,0.7683403491973877,,,,,900000
02:45:00.000-03:00,03:00:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
03:00:00.000-03:00,03:15:00.000-03:00,,16.12760353088379,,,,68.0,68.0,68.0,,,,,,,,,,,,900000
03:15:00.000-03:00,03:30:00.000-03:00,,16.12760353088379,,,,60.0,60.0,60.0,,,,,,,,,,,,900000
03:30:00.000-03:00,03:45:00.000-03:00,,16.12760353088379,,,,64.0,64.0,64.0,,,,,,,,,,,,900000
03:45:00.000-03:00,04:00:00.000-03:00,,16.12760353088379,,,,63.0,63.0,63.0,,,,,,,,,,,,900000
04:00:00.000-03:00,04:15:00.000-03:00,,16.12760353088379,,,,63.0,63.0,63.0,,,,,,,,,,,,900000
04:15:00.000-03:00,04:30:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
04:30:00.000-03:00,04:45:00.000-03:00,,16.12760353088379,,,,,,,,,,,,,,,,,,900000
04:45:00.000-03:00,05:00:00.000-03:00,,16.12760353088379,,,,63.0,63.0,63.0,,,,,,,,,,,,900000
