Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms),Duração de Outra (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.742187518319055,2.8408759124087593,,,77.0,87.0,73.0,,,,,,,,4,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,76.21428571428571,81.0,73.0,,,,,,,,5,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,76.21428571428571,87.0,72.0,,,,,,,,5,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,79.07142857142857,87.0,72.0,,,,,,,,5,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,70.92857142857143,74.0,68.0,,,,,,,,5,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,69.89285714285714,73.0,68.0,,,,,,,,5,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,71.14285714285714,74.0,67.0,,,,,,,,5,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,66.92857142857143,69.0,64.0,,,,,,,,5,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,68.64285714285714,70.0,68.0,,,,,,,,5,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,69.39285714285714,75.0,63.0,,,,,,,,5,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,77.67857142857143,83.0,74.0,,,,,,,,5,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,75.46428571428571,80.0,73.0,,,,,,,,5,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,74.78571428571429,83.0,69.0,,,,,,,,5,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,70.21428571428571,72.0,69.0,,,,,,,,5,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,69.67857142857143,71.0,68.0,,,,,,,,5,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,67.75,69.0,66.0,,,,,,,,5,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,67.14285714285714,68.0,66.0,,,,,,,,5,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,64.25,73.0,58.0,,,,,,,,5,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,71.67857142857143,74.0,70.0,,,,,,,,5,,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,70.14285714285714,75.0,66.0,,,,,,,,5,,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,68.03571428571429,69.0,67.0,,,,,,,,5,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,69.32142857142857,74.0,68.0,,,,,,,,5,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,68.17857142857143,77.0,63.0,,,,,,,,5,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,68.57142857142857,75.0,63.0,,,,,,,,5,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,69.42857142857143,78.0,67.0,,,,,,,,5,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,69.78571428571429,73.0,68.0,,,,,,,,5,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,67.82142857142857,70.0,66.0,,,,,,,,5,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,69.10714285714286,75.0,65.0,,,,,,,,5,,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,73.10714285714286,83.0,69.0,,,,,,,,5,,,,,
07:15:00.000-03:00,07:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,72.39285714285714,81.0,66.0,,,,,,,,5,,,,,
07:30:00.000-03:00,07:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,70.39285714285714,77.0,66.0,,,,,0.6523782610893248,0.652378261089325,0.652378261089325,5,,,,,
07:45:00.000-03:00,08:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,72.57142857142857,76.0,70.0,,,,,0.652378261089325,0.652378261089325,0.652378261089325,5,,,,,
08:00:00.000-03:00,08:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,77.89285714285714,87.0,71.0,,,,,0.652378261089325,0.652378261089325,0.652378261089325,5,,,,,
08:15:00.000-03:00,08:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,85.17857142857143,95.0,71.0,,,,,,,,5,,,,,
08:30:00.000-03:00,08:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,89.60714285714286,98.0,72.0,,,,,,,,5,,,,,
08:45:00.000-03:00,09:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,87.57142857142857,99.0,80.0,,,,,,,,5,,,,,
09:00:00.000-03:00,09:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,84.0,88.0,81.0,,,,,,,,5,,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,82.14285714285714,91.0,79.0,,,,,,,,5,,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,84.60714285714286,98.0,79.0,,,,,,,,5,,,,,
09:45:00.000-03:00,10:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,85.07142857142857,92.0,77.0,,,,,,,,5,,,,,
10:00:00.000-03:00,10:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,82.85714285714286,91.0,77.0,,,,,,,,5,,,,,
10:15:00.000-03:00,10:30:00.000-03:00,,15.742187518319055,3.0437956204379564,,,83.60714285714286,86.0,81.0,,,,,,,,5,,,,,
10:30:00.000-03:00,10:45:00.000-03:00,,15.742187518319055,3.0437956204379564,,,84.53571428571429,97.0,78.0,,,,,,,,5,,,,,
10:45:00.000-03:00,11:00:00.000-03:00,,15.742187518319055,3.0437956204379564,,,81.46428571428571,90.0,77.0,,,,,,,,5,,,,,
11:00:00.000-03:00,11:15:00.000-03:00,,15.742187518319055,3.0437956204379564,,,80.46428571428571,84.0,77.0,,,,,,,,5,,,,,
11:15:00.000-03:00,11:30:00.000-03:00,3,25.095749869696746,85.23211678832116,,,80.5,94.0,74.0,,,,,0.5569227635860443,0.800022542476654,0.31382298469543457,135,,,,180000,
11:30:00.000-03:00,11:45:00.000-03:00,3,25.09574950825084,90.33333333333333,,,85.03571428571429,104.0,74.0,,,,,0.5689305812120438,0.6490442752838135,0.48881688714027405,146,,,,180000,
11:45:00.000-03:00,12:00:00.000-03:00,,15.742187066511674,10.0,,,78.42857142857143,93.0,70.0,,,,,,,,16,,,,,
12:00:00.000-03:00,12:15:00.000-03:00,,15.742187066511674,10.0,,,91.21428571428571,101.0,85.0,,,,,,,,16,,,,,
