Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Outra (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.742187106579136,2.2605504587155965,,,73.3076923076923,78.0,69.0,,,,,,,,3,,,,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.742187106579136,2.4220183486238533,,,72.57142857142857,76.0,70.0,,,,,,,,4,,,,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.742187106579136,2.4220183486238533,,,83.25,105.0,71.0,,,,,,,,4,,,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.742187106579136,2.4220183486238533,,,69.78571428571429,81.0,65.0,,,,,,,,4,,,,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.742187106579136,2.4220183486238533,,,66.21428571428571,70.0,65.0,,,,,,,,4,,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.742187106579136,2.4220183486238533,,,66.17857142857143,67.0,65.0,,,,,,,,4,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.742187106579136,2.4220183486238533,,,68.92857142857143,75.0,64.0,,,,,,,,4,,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.742187106579136,2.4220183486238533,,,68.53571428571429,72.0,66.0,,,,,,,,4,,,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.742187106579136,2.4220183486238533,,,67.28571428571429,73.0,66.0,,,,,,,,4,,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.742187106579136,2.4220183486238533,,,66.89285714285714,68.0,66.0,,,,,,,,4,,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.742187106579136,2.4220183486238533,,,66.14285714285714,67.0,65.0,,,,,,,,4,,,,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.742187106579136,2.4220183486238533,,,65.64285714285714,71.0,64.0,,,,,,,,4,,,,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.742187106579136,2.4220183486238533,,,62.464285714285715,65.0,60.0,,,,,,,,4,,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.742187106579136,2.4220183486238533,,,70.10714285714286,79.0,66.0,,,,,,,,4,,,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.742187106579136,2.4220183486238533,,,66.07142857142857,70.0,59.0,,,,,,,,4,,,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.742187106579136,2.4220183486238533,,,59.285714285714285,67.0,57.0,,,,,,,,4,,,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.742187106579136,2.4220183486238533,,,58.892857142857146,61.0,58.0,,,,,,,,4,,,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.742187106579136,2.4220183486238533,,,59.535714285714285,66.0,57.0,,,,,,,,4,,,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,15.742187106579136,2.4220183486238533,,,58.17857142857143,59.0,57.0,,,,,,,,4,,,,,,,
