Hora de início,Horário de término,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Caminhada (ms)
00:00:00.000-03:00,00:15:00.000-03:00,,15.867188185155872,0.7593880389429764,,,67.60714285714286,75.0,62.0,,,,,,,,1,,,,
00:15:00.000-03:00,00:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,67.39285714285714,71.0,64.0,,,,,,,,1,,,,
00:30:00.000-03:00,00:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,69.82142857142857,75.0,65.0,,,,,,,,1,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,79.60714285714286,82.0,76.0,,,,,,,,1,,,,
01:00:00.000-03:00,01:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,71.75,74.0,69.0,,,,,,,,1,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,73.17857142857143,74.0,72.0,,,,,,,,1,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,72.0,74.0,71.0,,,,,,,,1,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,72.10714285714286,73.0,71.0,,,,,,,,1,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,72.71428571428571,78.0,70.0,,,,,,,,1,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,77.75,98.0,68.0,,,,,,,,1,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,67.96428571428571,79.0,66.0,,,,,,,,1,,,,
02:45:00.000-03:00,03:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,65.64285714285714,72.0,62.0,,,,,,,,1,,,,
03:00:00.000-03:00,03:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,63.785714285714285,67.0,61.0,,,,,,,,1,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,67.75,80.0,63.0,,,,,,,,1,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,64.82142857142857,70.0,61.0,,,,,,,,1,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,64.57142857142857,66.0,63.0,,,,,,,,1,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,78.96428571428571,94.0,65.0,,,,,,,,1,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,74.92857142857143,79.0,69.0,,,,,,,,1,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,73.25,76.0,71.0,,,,,,,,1,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,73.03571428571429,77.0,69.0,,,,,,,,1,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,73.17857142857143,78.0,71.0,,,,,,,,1,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,71.60714285714286,76.0,68.0,,,,,,,,1,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,70.85714285714286,72.0,69.0,,,,,,,,1,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,72.28571428571429,74.0,69.0,,,,,,,,1,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,74.25,76.0,73.0,,,,,,,,1,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,73.07142857142857,78.0,64.0,,,,,,,,1,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,68.14285714285714,72.0,64.0,,,,,,,,1,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,68.71428571428571,73.0,60.0,,,,,0.6500962376594542,0.6500962376594543,0.6500962376594543,1,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,74.89285714285714,92.0,71.0,,,,,3.490079164505005,3.490079164505005,3.490079164505005,1,,,,
07:15:00.000-03:00,07:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,70.82142857142857,76.0,69.0,,,,,,,,1,,,,
07:30:00.000-03:00,07:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,81.75,95.0,71.0,,,,,,,,1,,,,
07:45:00.000-03:00,08:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,70.07142857142857,75.0,65.0,,,,,,,,1,,,,
08:00:00.000-03:00,08:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,72.07142857142857,85.0,69.0,,,,,,,,1,,,,
08:15:00.000-03:00,08:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,74.17857142857143,86.0,67.0,,,,,,,,1,,,,
08:30:00.000-03:00,08:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,96.0,100.0,92.0,,,,,,,,1,,,,
08:45:00.000-03:00,09:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,,,,,,,,0.9792808294296265,0.9792808294296265,0.9792808294296265,1,,,,
09:00:00.000-03:00,09:15:00.000-03:00,,15.867188185155872,0.8136300417246176,,,,,,,,,,,,,1,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,15.867188185155872,0.8136300417246176,,,,,,,,,,5.446393623948097,10.581984519958496,0.31080272793769836,2,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,15.867188185155872,0.8136300417246176,,,,,,,,,,,,,1,,,,
09:45:00.000-03:00,10:00:00.000-03:00,,15.867188185155872,0.8136300417246176,,,,,,,,,,2.4733349680900574,3.2809898853302,1.6656800508499146,1,,,,
10:00:00.000-03:00,10:15:00.000-03:00,1,23.764836900663298,0.8136300417246176,,,,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,1,,,,148754
10:15:00.000-03:00,10:30:00.000-03:00,,15.867187231275341,0.8136300417246176,,,,,,,,,,,,,1,,,,
10:30:00.000-03:00,10:45:00.000-03:00,,18.613052769279456,0.8136300417246176,,,,,,,,,,0.8833936601877213,1.4480360746383667,0.3187512457370758,1,,,,51719
10:45:00.000-03:00,11:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,1,,,,
11:00:00.000-03:00,11:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
11:15:00.000-03:00,11:30:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,0.28131084832874126,0.31382301449775696,0.2510583996772766,1,,,,
11:30:00.000-03:00,11:45:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
11:45:00.000-03:00,12:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
12:00:00.000-03:00,12:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
12:15:00.000-03:00,12:30:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
12:30:00.000-03:00,12:45:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
12:45:00.000-03:00,13:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
13:00:00.000-03:00,13:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
13:15:00.000-03:00,13:30:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,0.282440721988678,0.282440721988678,0.282440721988678,1,,,,
13:30:00.000-03:00,13:45:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
14:45:00.000-03:00,15:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
15:00:00.000-03:00,15:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
15:30:00.000-03:00,15:45:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
17:00:00.000-03:00,17:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
17:30:00.000-03:00,17:45:00.000-03:00,1,15.867187610906905,0.8136300417246176,,,,,,,,,,0.5626345276832581,0.5626345276832581,0.5626345276832581,2,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,15.867187610906905,0.8136300417246176,,,,,,,,,,,,,1,,,,
18:15:00.000-03:00,18:30:00.000-03:00,2,22.912549966105026,0.8136300417246176,,,,,,,,,,0.3030106835367211,0.4012855589389801,0.2615191638469696,1,,,,132701
18:30:00.000-03:00,18:45:00.000-03:00,1,15.867186716121376,0.8136300417246176,,,,,,,,,,0.33480116959030637,0.35389745235443115,0.31382298469543457,1,,,,
18:45:00.000-03:00,19:00:00.000-03:00,,15.867186716121376,0.8136300417246176,,,,,,,,,,0.2985256135831847,0.31382301449775696,0.2510583996772766,1,,,,
19:00:00.000-03:00,19:15:00.000-03:00,,15.867186716121376,0.8136300417246176,,,,,,,,,,,,,1,,,,
19:15:00.000-03:00,19:30:00.000-03:00,,15.867186716121376,0.8136300417246176,,,,,,,,,,,,,1,,,,
19:30:00.000-03:00,19:45:00.000-03:00,,15.867186716121376,0.8136300417246176,,,,,,,,,,,,,1,,,,
19:45:00.000-03:00,20:00:00.000-03:00,1,20.849818655432063,0.8136300417246176,,,,,,,,,,0.3147450263390536,0.43914079666137695,0.2719799280166626,1,,,,93849
20:00:00.000-03:00,20:15:00.000-03:00,,15.867186285714638,0.8136300417246176,,,,,,,,,,,,,1,,,,
20:15:00.000-03:00,20:30:00.000-03:00,,15.867186285714638,0.8136300417246176,,,,,,,,,,,,,1,,,,
20:30:00.000-03:00,20:45:00.000-03:00,,15.867186285714638,0.8136300417246176,,,,,,,,,,,,,1,,,,
20:45:00.000-03:00,21:00:00.000-03:00,,15.867186285714638,0.8136300417246176,,,,,,,,,,,,,1,,,,
21:00:00.000-03:00,21:15:00.000-03:00,,15.867186285714638,0.8136300417246176,,,,,,,,,,,,,1,,,,
21:15:00.000-03:00,21:30:00.000-03:00,,15.867186285714638,0.8136300417246176,,,,,,,,,,,,,1,,,,
21:30:00.000-03:00,21:45:00.000-03:00,,15.867186285714638,0.8136300417246176,,,75.625,79.0,73.0,,,,,,,,1,,,,
21:45:00.000-03:00,22:00:00.000-03:00,,15.867186285714638,0.8136300417246176,,,78.28571428571429,82.0,76.0,,,,,,,,1,,,,
22:00:00.000-03:00,22:15:00.000-03:00,,15.867186285714638,0.8136300417246176,,,77.25,79.0,75.0,,,,,,,,1,,,,
22:15:00.000-03:00,22:30:00.000-03:00,,15.867186285714638,0.8136300417246176,,,76.85714285714286,81.0,72.0,,,,,,,,1,,,,
22:30:00.000-03:00,22:45:00.000-03:00,,15.867186285714638,0.8136300417246176,,,74.03571428571429,77.0,70.0,,,,,,,,1,,,,
22:45:00.000-03:00,23:00:00.000-03:00,,15.867186285714638,0.8136300417246176,,,75.0,76.0,72.0,,,,,,,,1,,,,
23:00:00.000-03:00,23:15:00.000-03:00,,15.867186285714638,0.8136300417246176,,,75.07142857142857,78.0,72.0,,,,,,,,1,,,,
23:15:00.000-03:00,23:30:00.000-03:00,,15.867186285714638,0.8136300417246176,,,73.42857142857143,77.0,71.0,,,,,,,,1,,,,
23:30:00.000-03:00,23:45:00.000-03:00,,23.093327162412457,0.8136300417246176,,,78.32142857142857,90.0,71.0,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,1,,,,136106
23:45:00.000-03:00,00:00:00.000-03:00,,15.867185572961825,0.7593880389429764,,,82.10714285714286,87.0,75.0,,,,,,,,1,,,,
