Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Latitude mínima (graus),Longitude mínima (graus),Latitude máxima (graus),Longitude máxima (graus),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Inativa (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Patinete (ms),Duração de Outra (ms)
2014-11-28,,,195.87575728954945,,,,,,,,,,,,,32,,,,,20307787,,,,
2014-11-29,,,2097.343563282873,,,,,,,,,,2.0,2.0,2.0,4505,,,,,80259170,1954312,,,
2014-11-30,,,395.85144216334385,,,,,,,,,,,,,614,,,,,77965924,233900,,,
2014-12-01,,,64.98461244190283,,,,,,,,,,,,,75,,,,,86355378,,,,
2014-12-02,,,7183.187103669835,,,,,,,,,,2.073370936472047,2.25,1.25,1781,58.0,58.0,58.0,,52520663,947148,,,
2014-12-21,,,276.0084499902005,,,,,,,,,,,,,637,58.0,58.0,58.0,,5107999,273415,,,
2014-12-22,,,2047.6851148735043,,,,,,,,,,1.0,1.0,1.0,4786,,,,,70304279,2027076,,,
2014-12-23,,,11493.129883019932,,,,,,,,,,1.404308377685864,2.3048861026763916,0.7071067690849304,8669,,,,,73059477,4798968,,,
2014-12-24,,,3301.5269511893594,,,,,,,,,,2.0680004358291626,2.136000871658325,2.0,285,,,,,82299691,,,,
2014-12-25,,,394.3861319296124,,,,,,,,,,,,,163,,,,,80356592,,,,
2014-12-26,,,3830.270991103562,,,,,,,,,,5.122916521710345,8.75,1.0,1798,,,,,81571367,1121484,,,
2014-12-27,,,38343.20643123775,,,,,,,,,,6.009095040307905,14.03566837310791,0.9013878107070923,3844,,,,,76653353,2235969,,,
2014-12-28,,,10276.692770064325,,,,,,,,,,9.75,9.75,9.75,2985,,,,,76698234,1435920,,,
2014-12-29,,,10473.348924207075,,,,,,,,,,,,,6408,57.0,57.0,57.0,2152427,73418876,3742981,,,
2014-12-30,,,9281.77400483625,,,,,,,,,,2.753044852646008,4.25,0.75,4863,,,,2403552,77357928,2811718,,,
2014-12-31,,,3509.8113585399597,,,,,,,,,,1.25,1.25,1.25,2837,,,,,84915650,777070,,,
2015-01-01,,,4189.9162503634825,,,,,,-26.99671745300293,-48.62825012207031,-26.996015548706055,-48.628082275390625,,,,12677,,,,,76032619,7429084,,,
2015-01-02,,,5159.330464822453,,,,,,,,,,0.529508501291275,0.55901700258255,0.5,2136,,,,,82988476,1433486,,,
