SEXO,n,bin
Feminino,64,0-4
Feminino,378,5-9
Feminino,366,10-14
Feminino,416,15-19
Feminino,391,20-24
Feminino,395,25-29
Feminino,301,30-34
Feminino,247,35-39
Feminino,244,40-44
Feminino,201,45-49
Feminino,175,50-54
Feminino,140,55-59
Feminino,87,60-64
Feminino,80,65-69
Feminino,47,70-74
Feminino,20,75-79
Feminino,15,80-84
Feminino,5,85-89
Masculino,120,0-4
Masculino,576,5-9
Masculino,721,10-14
Masculino,533,15-19
Masculino,507,20-24
Masculino,485,25-29
Masculino,352,30-34
Masculino,284,35-39
Masculino,229,40-44
Masculino,199,45-49
Masculino,149,50-54
Masculino,137,55-59
Masculino,74,60-64
Masculino,71,65-69
Masculino,43,70-74
Masculino,22,75-79
Masculino,16,80-84
Masculino,12,85-89
Masculino,4,90-94
