Endereço;Zona;Seções
R SÃO MARCELINO CHAMPAGNAT 130 ZONA 2;66;1, 2, 3, 4, 5, 6, 7, 8, 146, 151, 156, 162, 183, 186, 384, 394, 411
RUA OCTAVIO PERIOTO 176 ZONA URBANA;66;11, 12, 13, 14, 15, 16, 17, 18, 141
R MARTIM AFONSO 50 ZONA URBANA;66;19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 144
R ESTACIO DE SA 595 ZONA URBANA;66;33, 34, 35, 36, 37, 38, 145, 152, 158, 383, 389
R ARION RIBEIRO DE CAMPOS 885 ZONA URBANA;66;40, 41, 42
AV MAUA 1768 ZONA URBANA;66;45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 140
RUA NHAUMA, 61 ZONA URBANA;66;57, 59, 60
R BARROSO 787 ZONA URBANA;66;44, 63, 64, 66, 412
R LIBERO BADARO 252 ZONA URBANA;66;110, 111, 112, 113, 114, 115, 116, 149, 150, 153, 155, 160, 163, 184, 382, 390
AV PRUDENTE DE MORAES 815 ZONA URBANA;66;9, 10, 117, 118, 119, 120, 121, 122, 123, 164, 185
R EVARISTO DA VEIGA - 93 - ZONA URBANA;66;124, 157, 420
RUA FRANCISCO GLICERIO 410 - ZONA URBANA;66;126, 127, 128, 386
R MAL DEODORO - 865 ZONA URBANA;66;136, 137, 138, 139, 147, 159, 381, 397
R LUIZ GAMA 818 - ZONA URBANA;66;166, 167, 168, 169, 170, 171, 172, 173, 174
R CAMPOS SALLES 953 ZONA URBANA;66;175, 176, 177, 178, 179, 180, 181, 182
R SAINT HILARE 1318;66;188, 189, 190, 191, 192, 193, 195, 196, 407
AVENIDA CARLOS CORREIA BORGES, 1828;66;197, 198, 199, 200, 201, 202, 203, 204, 205, 385
R CARLOS CHAGAS 2053;66;206, 207, 208, 209, 210
AV 19 DE DEZEMBRO 08;66;211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223
RUA PETÚNIA, 239;66;224, 225, 226, 227, 228, 229
RUA PION. ARTHUR HENSCHEL, 91;66;230, 231, 232, 233, 234, 235, 237, 405
AV. DR. LUIZ TEIXEIRA MENDES,3075;66;238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250
AVENIDA CERRO AZUL, 2108;66;251, 252, 253, 255, 256, 406
AVENIDA JOAQUIM DUARTE MOLEIRINHO, 3669;66;257, 258, 259, 260, 261, 262, 264, 265, 266, 403
R MONSENHOR KIMURA, 31;66;267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282
RUA PION. JOÃO PERIN, 1321;66;283, 284, 285, 286, 287, 288, 290, 402
RUA ANGELINA MARIA DA SILVA, 468;66;292, 293, 398, 413
AV BRASIL 5354;66;294, 295, 296, 297, 298, 299, 300
AVENIDA GUEDNER, 3476;66;301, 302, 304, 305, 306
AVENIDA SAO PAULO, 3383;66;307, 308, 309, 310, 311
RUA ASSAÍ, 529;66;312, 313, 314, 315, 316, 415
RUA MONSENHOR TANAKA, 31;66;318, 319, 404, 422
RUA VISCONDE DE NACAR, 179;66;321, 322, 323, 324
RUA DAS TIPUANAS, 621;66;325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335
RUA NILO ALVES DOS SANTOS, 465;66;337, 338, 395, 401, 418
RUA PIAPARA,150;66;340, 341, 342, 343, 344, 345
RUA PAIÇANDU,641;66;346, 347, 348, 349, 350
RUA JOAQUIM DE OLIVEIRA FREITAS, 220;66;352, 388, 399, 416
RUA JOSE CORREIA DE AGUIAR, 361;66;354, 396, 414
RUA DOLORES DURAN, 1395;66;356, 417
R SAINT HILARE 1080;66;357, 359, 391, 421
R VEREADOR NELSON ABRAÃO, 80;66;362, 364, 365
RUA DIOGO MARTINS ESTEVES, 1221;66;367, 368, 419
RUA PEDRO PUPULIN, S/N;66;372, 373, 387, 400
RUA PION. SEBASTIÃO ALVES RAMOS, 116;66;374, 375, 376, 377, 378, 379, 380
