nome_do_local,latitude,longitude,soma
4º COLÉGIO DA POLÍCIA MILITAR DO ESTADO DO PARANÁ,-23.430989,-51.9146521,2423
CEEBJA - CENTRO ESTADUAL DE ENSINO BÁSICO DE JOVENS E ADULTOS,-23.40825,-51.9441318,2154
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL  MARIA DONÁ FERRAZ,-23.3986526,-51.8962832,1360
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ALEXANDRE E SOPHIA RASGULAEFF,-23.4055198,-51.9238134,2804
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ANGELA ROSSI RIZZO,-23.4122774,-51.898042,2026
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ANJO DA GUARDA,-23.4091674,-51.8806932,314
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ANTONIO FACCI,-23.3891182,-51.9383133,1935
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL BENEDITO CLAUDIO PINGA FOGO DE O,-23.3829421,-51.9714521,450
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL BÁRBARA CECILY NETTO BARROS,-23.4137041,-51.9578463,1479
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL DES. ZEFERINO MOZZATO KRUKOSKI,-23.3976582,-51.9787043,762
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL DORCELINA FOLADOR,-23.3968743,-51.8853611,616
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ELIZETE A. R. PIVETA ASSUNÇÃO,-23.4051608,-51.9506513,1614
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ESTHER GONÇALVES JOSEPETTI,-23.3649612,-52.0697545,79
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL FLORESTAN FERNANDES,-23.4050353,-51.9813802,904
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL FRANCE LUZ,-23.3746006,-52.0609867,1241
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL GENY CORREIA DE MELO,-23.3817739,-51.9213071,2009
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL GUILHERMINA CUNHA COELHO,-23.4197606,-51.8990047,1451
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL IRMÃ FIRMINA MARIA,-23.3876657,-51.9082123,1640
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL JOSÉ CLAUDIO PEREIRA NETO,-23.3877342,-51.9650494,2471
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL JOSÉ DE ANCHIETA,-23.4369668,-51.94958182,1464
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL JOSÉ PRESTES NETO,-23.3994212,-51.9112027,2589
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL LAURA PARENTE BOSSOLAN,-23.4029849,-51.9316795,1637
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL LIA TEREZINHA SAMBATTI,-23.4526569,-51.9105371,2096
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL MONSENHOR KIMURA,-23.44574483,-51.93360307,1510
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL NICE BRAGA,-23.4082379,-51.9616415,1498
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL NILZA DE OLIVEIRA PIPINO,-23.3938962,-51.9681114,1878
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PADRE FRANCISCO ROBL,-23.46432628,-51.95563126,1233
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PROFESSOR GALDINO DE ANDRADE,-23.4036365,-51.8957922,1757
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PROFESSOR RAUL PIMENTA,-23.3953365,-51.9416269,3320
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PROFESSORA TEREZA LEONEL,-23.4675296,-51.9247929,1222
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PROFª AMBROZINA FERNANDES SALES,-23.4041945,-51.9702527,526
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PROFª DULSE TELLES FERREIRA,-23.3731326,-51.9441896,1621
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL PURIFICAÇÃO DE JESUS VALENTE,-23.45530782,-51.94408178,1056
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL WALKIRIA FONTES,-23.3803336,-51.9410139,2207
CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL WINIFRED ETHEL NETTO,-23.4629674,-51.9235139,403
CENTRO SOCIAL SANTA DULCE DOS POBRES,-23.3996098,-51.9595913,1567
CENTRO SOCIAL URBANO,-23.4177844,-51.8991628,1566
CEPA - CENTRO DE PASTORAL DA ARQUIDIOCESE,-23.4080477,-51.9276088,1315
CMEI ANGELO VIEGAS - EM REFORMA -VOTAÇÃO E.M DR. HELENTON BORBA CORTES,-23.4394158,-51.8966662,647
COLEGIO DOM BOSCO - (PARTICULAR),-23.44394244,-51.92844287,2382
COLEGIO ESTADUAL BRANCA DA MOTA FERNANDES,-23.4178452,-51.9062359,4518
COLEGIO ESTADUAL CÍVICO MILITAR DUQUE DE CAXIAS,-23.404109,-51.9201654,4492
COLEGIO ESTADUAL DOUTOR GASTAO VIDIGAL,-23.4124389,-51.9353178,4742
COLEGIO ESTADUAL JOSÉ GERARDO BRAGA (ATUAL SANTA MARIA GORETTI),-23.42124936,-51.95379938,3262
COLEGIO ESTADUAL JUSCELINO KUBTSCHEK DE OLIVEIRA - ENS. FUND. E MÉDIO,-23.43187244,-51.97183911,3597
COLEGIO MARISTA DE MARINGÁ - (PARTICULAR),-23.42706714,-51.94210552,5674
COLEGIO SANTA CRUZ (PARTICULAR),-23.42177591,-51.95454648,2206
COLEGIO SANTO INACIO - (PARTICULAR),-23.42303114,-51.91985224,3219
COLEGIO SAO FRANCISCO XAVIER - (PARTICULAR),-23.43774667,-51.93425167,4896
COLÉGIO BOM JESUS (PARTICULAR) 'CARLOS DÉMIA',-23.452465,-51.953865,3631
COLÉGIO ESTADUAL ADAILE MARIA LEITE,-23.4145598,-51.8881782,3266
COLÉGIO ESTADUAL ALBERTO JACKSON BYINGTON JUNIOR,-23.43404667,-51.95873833,2718
COLÉGIO ESTADUAL DO PARQUE ITAIPU - ENSINO FUNDAMENTAL,-23.4526124,-51.9749551,2152
COLÉGIO ESTADUAL JOAO DE FARIA PIOLI,-23.4146433,-51.9125051,4255
COLÉGIO ESTADUAL MARCO ANTONIO PIMENTA,-23.4277898,-51.8966975,2323
COLÉGIO ESTADUAL TANCREDO DE ALMEIDA NEVES,-23.4032521,-51.8942725,2006
COLÉGIO ESTADUAL TANIA VARELLA FERREIRA,-23.4099832,-51.8739394,3037
COLÉGIO ESTADUAL UNIDADE POLO,-23.3970538,-51.9147579,6535
COLÉGIO ESTADUAL VITAL BRASIL,-23.41553779,-51.93140469,2434
COLÉGIO INTERAÇÃO (GRAHAM BELL) - (PARTICULAR),-23.417065,-51.923,803
COLÉGIO PARANÁ - (PARTICULAR),-23.4164882,-51.9414806,3530
COLÉGIO REGINA MUNDI - (PARTICULAR),-23.43048742,-51.93230392,3421
ESCOLA ADVENTISTA - (PARTICULAR),-23.4268381,-51.9477021,2138
ESCOLA ESTADUAL  THEOBALDO MIRANDA SANTOS,-23.4269416,-51.9263751,1568
ESCOLA ESTADUAL ALFREDO MOISES MALUF,-23.381166,-51.9402283,3202
ESCOLA ESTADUAL BRASILIO ITIBERE,-23.4329087,-51.93932727,933
ESCOLA ESTADUAL DIRCE DE AGUIAR MAIA,-23.4049264,-51.9586675,1445
ESCOLA ESTADUAL DOUTOR RODRIGUES ALVES,-23.4053837,-51.9289385,3342
ESCOLA ESTADUAL ELVIRA BALANI DOS SANTOS,-23.42611833,-51.967845,1467
ESCOLA ESTADUAL IPIRANGA,-23.41607,-51.94853667,2574
ESCOLA ESTADUAL PRESIDENTE KENNEDY,-23.4141159,-51.9540733,3217
ESCOLA ESTADUAL RUI BARBOSA,-23.3712707,-52.0638549,1750
ESCOLA ESTADUAL SILVIO MAGALHAES BARROS,-23.3949114,-51.9677732,2623
ESCOLA ESTADUAL TOMAZ EDISON DE ANDRADE VIEIRA - ENS. FUND. E MÉDIO,-23.451205,-51.96013,3581
ESCOLA LÉO KANNER - A.M.A. (PARTICULAR),-23.3973519,-51.9534853,950
ESCOLA MUNICIPAL ANGELA VERGINIA BORIN,-23.4110791,-51.8745156,1992
ESCOLA MUNICIPAL ANTENOR SANCHES,-23.3720089,-51.9465364,1469
ESCOLA MUNICIPAL ARIOVALDO MORENO,-23.3940073,-51.9216661,2683
ESCOLA MUNICIPAL AYRTON PLAISANT,-23.41568197,-51.92679625,1346
ESCOLA MUNICIPAL CAMPOS SALLES,-23.4304215,-51.9049061,2157
ESCOLA MUNICIPAL CELESTIN FREINET,-23.4159005,-51.9781348,1949
ESCOLA MUNICIPAL DEPUTADO FEDERAL DR ULYSSES GUIMARAES,-23.3967698,-51.9785427,3585
ESCOLA MUNICIPAL DIDEROT ALVES DA ROCHA LOURES,-23.378216,-51.9297324,1833
ESCOLA MUNICIPAL DOM JAIME LUIZ COELHO (VINICIUS DE MORAIS),-23.465671,-51.9224251,2635
ESCOLA MUNICIPAL DONA ANGELINA LONARDON MENEGUETTI,-23.3793731,-52.0620373,1110
ESCOLA MUNICIPAL DONA LÁZARA RIBEIRO VILELLA - ENSINO FUNDAMENTAL,-23.5254291,-52.0539159,1577
ESCOLA MUNICIPAL DR OSVALDO CRUZ,-23.42159394,-51.93094413,2643
ESCOLA MUNICIPAL DR. HELENTON BORBA CORTES,-23.4400324,-51.896179,1966
ESCOLA MUNICIPAL DR. JOÃO BATISTA SANCHES,-23.4554597,-51.9114388,2013
ESCOLA MUNICIPAL DR. LUIZ GABRIEL GUIMARAES SAMPAIO,-23.4135772,-51.9020892,3030
ESCOLA MUNICIPAL FERNAO DIAS,-23.3836373,-52.0312815,741
ESCOLA MUNICIPAL GABRIELA MISTRAL,-23.43048271,-51.91907477,974
ESCOLA MUNICIPAL JOAQUIM MARIA MACHADO DE ASSIS,-23.4095569,-51.8691574,1903
ESCOLA MUNICIPAL MAESTRO ANICETO MATTI,-23.3878585,-51.9048102,2612
ESCOLA MUNICIPAL NADYR MARIA ALEGRETTE - CAIC,-23.3805597,-51.932056,4044
ESCOLA MUNICIPAL OCTÁVIO PERIOTTO,-23.45850167,-51.90979,2442
ESCOLA MUNICIPAL ODETE RIBAROLLI GOMES CASTRO,-23.4334817,-51.9567004,1112
ESCOLA MUNICIPAL ODILON TULIO VARGAS,-23.44702927,-51.96285037,785
ESCOLA MUNICIPAL OLGA AIUB FERREIRA,-23.4078704,-51.8809228,2818
ESCOLA MUNICIPAL OSCAR PEREIRA DOS SANTOS - ENSINO FUNDAMENTAL,-23.4441189,-51.9777029,1893
